"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","GRC","Greece","ST","Level, ratio or index","A","Annual","2012","2012","PC","Percentage","0","Units",,,24.4916666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","GRC","Greece","ST","Level, ratio or index","A","Annual","2013","2013","PC","Percentage","0","Units",,,27.4916666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","GRC","Greece","ST","Level, ratio or index","A","Annual","2014","2014","PC","Percentage","0","Units",,,26.55,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","GRC","Greece","ST","Level, ratio or index","A","Annual","2015","2015","PC","Percentage","0","Units",,,24.9583333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","GRC","Greece","ST","Level, ratio or index","A","Annual","2016","2016","PC","Percentage","0","Units",,,23.5666666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","GRC","Greece","ST","Level, ratio or index","A","Annual","2017","2017","PC","Percentage","0","Units",,,21.5333333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","GRC","Greece","ST","Level, ratio or index","A","Annual","2018","2018","PC","Percentage","0","Units",,,19.3083333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","GRC","Greece","ST","Level, ratio or index","A","Annual","2019","2019","PC","Percentage","0","Units",,,17.3333333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","HUN","Hungary","ST","Level, ratio or index","A","Annual","2011","2011","PC","Percentage","0","Units",,,11.0583333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","HUN","Hungary","ST","Level, ratio or index","A","Annual","2012","2012","PC","Percentage","0","Units",,,11.0166666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","HUN","Hungary","ST","Level, ratio or index","A","Annual","2013","2013","PC","Percentage","0","Units",,,10.1166666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","HUN","Hungary","ST","Level, ratio or index","A","Annual","2014","2014","PC","Percentage","0","Units",,,7.74166666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","HUN","Hungary","ST","Level, ratio or index","A","Annual","2015","2015","PC","Percentage","0","Units",,,6.83333333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","HUN","Hungary","ST","Level, ratio or index","A","Annual","2016","2016","PC","Percentage","0","Units",,,5.1,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","HUN","Hungary","ST","Level, ratio or index","A","Annual","2017","2017","PC","Percentage","0","Units",,,4.175,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","HUN","Hungary","ST","Level, ratio or index","A","Annual","2018","2018","PC","Percentage","0","Units",,,3.70833333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","HUN","Hungary","ST","Level, ratio or index","A","Annual","2019","2019","PC","Percentage","0","Units",,,3.45,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","ISL","Iceland","ST","Level, ratio or index","A","Annual","2011","2011","PC","Percentage","0","Units",,,7.05,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","ISL","Iceland","ST","Level, ratio or index","A","Annual","2012","2012","PC","Percentage","0","Units",,,6.025,,
